route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,shape_id
CHOLETBUS:4,REGEN_653,CHOLETBUS:243558:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243563:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243566:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243570:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243571:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243574:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243575:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243577:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243581:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243582:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243583:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243585:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:1,REGEN_653,CHOLETBUS:243284:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:4,REGEN_653,CHOLETBUS:243588:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243589:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_1253,CHOLETBUS:243590:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243593:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243595:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243599:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_81,CHOLETBUS:243600:1863809,"","",0,,0,0,CHOLETBUS:4361$197$158
CHOLETBUS:4,REGEN_653,CHOLETBUS:243601:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_653,CHOLETBUS:243604:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_3544,CHOLETBUS:245322:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:1,REGEN_653,CHOLETBUS:243285:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:4,REGEN_3544,CHOLETBUS:245323:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_3544,CHOLETBUS:245325:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_3544,CHOLETBUS:245327:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_3544,CHOLETBUS:245328:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_4674,CHOLETBUS:245330:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_4674,CHOLETBUS:245332:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_4674,CHOLETBUS:245334:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_4674,CHOLETBUS:245335:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_4674,CHOLETBUS:245337:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:4,REGEN_4674,CHOLETBUS:245341:1863809,"","",0,,0,0,CHOLETBUS:4361$194$155
CHOLETBUS:1,REGEN_653,CHOLETBUS:243286:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:1,REGEN_653,CHOLETBUS:243287:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:1,REGEN_653,CHOLETBUS:243288:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:1,REGEN_653,CHOLETBUS:243289:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:1,REGEN_653,CHOLETBUS:243290:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:1,REGEN_653,CHOLETBUS:243291:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:1,REGEN_653,CHOLETBUS:243292:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:1,REGEN_653,CHOLETBUS:243293:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242583:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242585:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:1,REGEN_653,CHOLETBUS:243294:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242587:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242588:1863812,"","",0,,0,0,CHOLETBUS:4361$201$160
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242589:1863812,"","",0,,0,0,CHOLETBUS:4361$201$160
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242591:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242592:1863812,"","",0,,0,0,CHOLETBUS:4361$201$160
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242595:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242599:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242600:1863812,"","",0,,0,0,CHOLETBUS:4361$201$160
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242601:1863812,"","",0,,0,0,CHOLETBUS:4361$201$160
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242603:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:1,REGEN_653,CHOLETBUS:243295:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242605:1863812,"","",0,,0,0,CHOLETBUS:4361$201$160
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242607:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242609:1863812,"","",0,,0,0,CHOLETBUS:4361$201$160
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242611:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242615:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242616:1863812,"","",0,,0,0,CHOLETBUS:4361$201$160
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242619:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242620:1863812,"","",0,,0,0,CHOLETBUS:4361$201$160
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242623:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242624:1863812,"","",0,,0,0,CHOLETBUS:4361$201$160
CHOLETBUS:1,REGEN_653,CHOLETBUS:243296:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242627:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242628:1863812,"","",0,,0,0,CHOLETBUS:4361$201$160
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242631:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_5380,CHOLETBUS:242632:1863812,"","",0,,0,0,CHOLETBUS:4361$201$160
CHOLETBUS:7,REGEN_1610,CHOLETBUS:242707:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_1610,CHOLETBUS:242708:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_1610,CHOLETBUS:242709:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_1610,CHOLETBUS:242710:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_1610,CHOLETBUS:242711:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_1610,CHOLETBUS:242712:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:1,REGEN_653,CHOLETBUS:243297:1863805,"","",0,,0,0,CHOLETBUS:4361$158$1
CHOLETBUS:7,REGEN_1610,CHOLETBUS:242713:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_1610,CHOLETBUS:242714:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_1610,CHOLETBUS:242715:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_1610,CHOLETBUS:242716:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_1610,CHOLETBUS:242717:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_81,CHOLETBUS:243736:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_81,CHOLETBUS:243738:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_81,CHOLETBUS:243739:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_81,CHOLETBUS:243741:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:7,REGEN_81,CHOLETBUS:243743:1863812,"","",0,,0,0,CHOLETBUS:4361$202$159
CHOLETBUS:1,REGEN_653,CHOLETBUS:243303:1863805,"","",0,,0,0,CHOLETBUS:4361$160$2
