time_period,average_departures,observation_count
night,2.541757888898619,171285
morning_peak,8.47660073210518,768742
morning,7.780731297172578,639275
midday,5.162859808886203,748036
afternoon,8.111420053175186,681897
evening_peak,8.816866148073366,856805
night_service,6.7587494521056,474544
