stop_id,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,coordinate_status
SNCF:ST:87338137,Laferté-sur-Aube,48.098643,4.783726,1,0,outside_pdl_bbox
SNCF:ST:87338145,Saint-Dizier Saint-Amand,48.62502,4.967799,1,0,outside_pdl_bbox
SNCF:ST:87338152,Gourzon,48.545856,5.084754,1,0,outside_pdl_bbox
SNCF:ST:87338160,Rachecourt-sur-Marne,48.526964,5.100308,1,0,outside_pdl_bbox
SNCF:ST:87338178,Vecqueville,48.457358,5.143004,1,0,outside_pdl_bbox
SNCF:ST:87338186,Rupt,48.425228,5.139441,1,0,outside_pdl_bbox
SNCF:ST:87338194,Rouvroy-sur-Marne,48.358077,5.147524,1,0,outside_pdl_bbox
SNCF:ST:87338517,Hoenheim Tram,48.628626,7.758118,1,0,outside_pdl_bbox
SNCF:ST:87338525,Krimmeri Meinau,48.563641,7.752617,1,0,outside_pdl_bbox
SNCF:ST:87338590,Monte-Carlo Country Club,43.754353,7.448208,1,0,outside_pdl_bbox
SNCF:ST:87338707,La Voulte-sur-Rhône Cité,44.809707,4.786729,1,0,outside_pdl_bbox
SNCF:ST:87342006,Béthune,50.521452,2.640511,1,0,outside_pdl_bbox
SNCF:ST:87342014,Arras,50.286968,2.78131,1,0,outside_pdl_bbox
SNCF:ST:87342030,Miraumont,50.096101,2.734678,1,0,outside_pdl_bbox
SNCF:ST:87342048,Achiet,50.131918,2.780115,1,0,outside_pdl_bbox
SNCF:ST:87342063,Courcelles-le-Comte,50.16955,2.787856,1,0,outside_pdl_bbox
SNCF:ST:87342071,Boisleux,50.210457,2.771965,1,0,outside_pdl_bbox
SNCF:ST:87342089,Roeux,50.303423,2.89436,1,0,outside_pdl_bbox
SNCF:ST:87342097,Biache-Saint-Vaast,50.316256,2.941719,1,0,outside_pdl_bbox
SNCF:ST:87342105,Bully - Grenay,50.448355,2.733387,1,0,outside_pdl_bbox
SNCF:ST:87342113,Vitry-en-Artois,50.32712,2.980559,1,0,outside_pdl_bbox
SNCF:ST:87342121,Mazingarbe,27.1414,-3.40457,1,0,outside_pdl_bbox
SNCF:ST:87342139,Noeux-Les-Mines,50.482957,2.67397,1,0,outside_pdl_bbox
SNCF:ST:87342188,Maroeuil,50.322436,2.698504,1,0,outside_pdl_bbox
SNCF:ST:87342204,Fouquereuil,27.141401,-3.404571,1,0,outside_pdl_bbox
SNCF:ST:87342212,Frévin-Capelle,50.347207,2.633164,1,0,outside_pdl_bbox
SNCF:ST:87342220,Chocques,27.141401,-3.404571,1,0,outside_pdl_bbox
SNCF:ST:87342238,Lillers,50.56171,2.478906,1,0,outside_pdl_bbox
SNCF:ST:87342246,Aubigny-en-Artois,50.352898,2.592524,1,0,outside_pdl_bbox
SNCF:ST:87342253,Savy-Berlette,50.353862,2.558069,1,0,outside_pdl_bbox
SNCF:ST:87342261,Ham-en-Artois,27.141401,-3.404572,1,0,outside_pdl_bbox
SNCF:ST:87342279,Berguette - Isbergues,50.613792,2.462785,1,0,outside_pdl_bbox
SNCF:ST:87342287,Thiennes,50.652352,2.472927,1,0,outside_pdl_bbox
SNCF:ST:87342295,Steenbecque,50.681447,2.510586,1,0,outside_pdl_bbox
SNCF:ST:87342303,Tincques,50.357149,2.498037,1,0,outside_pdl_bbox
SNCF:ST:87342337,Saint-Pol-sur-Ternoise,50.379158,2.339345,1,0,outside_pdl_bbox
SNCF:ST:87342402,Beuvry lès Béthune,50.535524,2.692326,1,0,outside_pdl_bbox
SNCF:ST:87342410,Cuinchy,50.521851,2.747436,1,0,outside_pdl_bbox
SNCF:ST:87342436,La Bassée,50.527936,2.804768,1,0,outside_pdl_bbox
SNCF:ST:87342451,Salomé,50.541881,2.838263,1,0,outside_pdl_bbox
SNCF:ST:87342469,Marquillies,50.548146,2.867373,1,0,outside_pdl_bbox
SNCF:ST:87342527,Farbus,27.1414,-3.404569,1,0,outside_pdl_bbox
SNCF:ST:87342535,Vis à Marles,50.505087,2.517362,1,0,outside_pdl_bbox
SNCF:ST:87342543,Calonne-Ricouart,50.482795,2.48106,1,0,outside_pdl_bbox
SNCF:ST:87342550,Pernes - Camblain,50.480358,2.431081,1,0,outside_pdl_bbox
SNCF:ST:87342576,Vimy,50.374012,2.821913,1,0,outside_pdl_bbox
SNCF:ST:87342584,Avion,50.407211,2.833634,1,0,outside_pdl_bbox
SNCF:ST:87342592,Bailleul-Sir-Berthoult,50.335376,2.841156,1,0,outside_pdl_bbox
SNCF:ST:87343004,Valenciennes,50.363184,3.517128,1,0,outside_pdl_bbox
SNCF:ST:87343103,Saint-Amand-les-Eaux,50.443347,3.419372,1,0,outside_pdl_bbox
SNCF:ST:87343160,Beuvrages,50.38944,3.50601,1,0,outside_pdl_bbox
SNCF:ST:87343210,Le Poirier Université,50.330081,3.50264,1,0,outside_pdl_bbox
SNCF:ST:87343301,Wallers,50.384496,3.393922,1,0,outside_pdl_bbox
SNCF:ST:87343319,Raismes,50.390288,3.47884,1,0,outside_pdl_bbox
SNCF:ST:87343400,Trith-Saint-Léger,50.331569,3.489509,1,0,outside_pdl_bbox
SNCF:ST:87343418,Prouvy - Thiant,50.316493,3.461272,1,0,outside_pdl_bbox
SNCF:ST:87343459,Denain,50.334448,3.388678,1,0,outside_pdl_bbox
SNCF:ST:87343475,Lourches,50.310239,3.343187,1,0,outside_pdl_bbox
SNCF:ST:87344127,Saint-Lyé Maisons brûlées,48.34635,4.022261,1,0,outside_pdl_bbox
SNCF:ST:87344440,Sainte-Gemme,46.901683,-0.28775,1,0,within_pdl_bbox
SNCF:ST:87344598,Saint-Angel,45.503953,2.231627,1,0,outside_pdl_bbox
SNCF:ST:87345009,Douai,50.371676,3.089961,1,0,outside_pdl_bbox
SNCF:ST:87345025,Lens,50.426864,2.828295,1,0,outside_pdl_bbox
SNCF:ST:87345033,Loos-en-Gohelle,27.1414,-3.404569,1,0,outside_pdl_bbox
SNCF:ST:87345041,Liévin,50.434246,2.771852,1,0,outside_pdl_bbox
SNCF:ST:87345108,Brebières Sud,50.336151,3.013983,1,0,outside_pdl_bbox
SNCF:ST:87345116,Corbehem,50.342996,3.040003,1,0,outside_pdl_bbox
SNCF:ST:87345124,Pont de Sallaumines,50.415774,2.863083,1,0,outside_pdl_bbox
SNCF:ST:87345132,Coron de Méricourt,50.414937,2.88616,1,0,outside_pdl_bbox
SNCF:ST:87345140,Billy-Montigny,50.415556,2.911865,1,0,outside_pdl_bbox
SNCF:ST:87345157,Hénin-Beaumont,50.417084,2.952089,1,0,outside_pdl_bbox
SNCF:ST:87345165,Dourges,50.431925,2.98701,1,0,outside_pdl_bbox
SNCF:ST:87345207,Pont de la Deûle,50.398141,3.085108,1,0,outside_pdl_bbox
SNCF:ST:87345215,Sallaumines,50.422292,2.855763,1,0,outside_pdl_bbox
SNCF:ST:87345223,Leforest,50.427786,3.059788,1,0,outside_pdl_bbox
SNCF:ST:87345231,Loison-sous-Lens,50.440024,2.859543,1,0,outside_pdl_bbox
SNCF:ST:87345249,Ostricourt,50.445504,3.032418,1,0,outside_pdl_bbox
SNCF:ST:87345256,Libercourt,50.480206,3.008643,1,0,outside_pdl_bbox
SNCF:ST:87345264,Pont-à-Vendin,50.471306,2.875263,1,0,outside_pdl_bbox
SNCF:ST:87345272,Meurchin,50.496718,2.892738,1,0,outside_pdl_bbox
SNCF:ST:87345280,Bauvin - Provin,50.511562,2.905425,1,0,outside_pdl_bbox
SNCF:ST:87345306,Montigny-en-Ostrevent,50.361512,3.188371,1,0,outside_pdl_bbox
SNCF:ST:87345314,Somain,50.355695,3.277314,1,0,outside_pdl_bbox
SNCF:ST:87345389,Bouchain,50.278149,3.331734,1,0,outside_pdl_bbox
SNCF:ST:87345397,Iwuy,50.225857,3.329877,1,0,outside_pdl_bbox
SNCF:ST:87345405,Sin-le-Noble,50.356684,3.112558,1,0,outside_pdl_bbox
SNCF:ST:87345413,Cantin,50.312552,3.122151,1,0,outside_pdl_bbox
SNCF:ST:87345421,Arleux,50.286348,3.120524,1,0,outside_pdl_bbox
SNCF:ST:87345439,Brunémont,50.278222,3.146041,1,0,outside_pdl_bbox
SNCF:ST:87345447,Aubigny-au-Bac,50.268552,3.158782,1,0,outside_pdl_bbox
SNCF:ST:87345496,Escaudoeuvres,50.191747,3.275476,1,0,outside_pdl_bbox
SNCF:ST:87345520,Cambrai,50.176585,3.241202,1,0,outside_pdl_bbox
SNCF:ST:87345546,Maurois,50.068058,3.455904,1,0,outside_pdl_bbox
SNCF:ST:87345553,Bertry,50.091131,3.448852,1,0,outside_pdl_bbox
SNCF:ST:87345561,Caudry,50.111473,3.40971,1,0,outside_pdl_bbox
SNCF:ST:87345587,Cattenières,50.128346,3.333714,1,0,outside_pdl_bbox
SNCF:ST:87345595,Wambaix,50.133857,3.311478,1,0,outside_pdl_bbox
SNCF:ST:87352047,Champagnole Paul-Émile Victor,46.742551,5.919794,1,0,outside_pdl_bbox
SNCF:ST:87353573,Le Toec,43.595554,1.401371,1,0,outside_pdl_bbox
SNCF:ST:87353581,Les Ramassiers,43.602399,1.352946,1,0,outside_pdl_bbox
SNCF:ST:87353599,Saint-Martin du Touch,43.599787,1.371855,1,0,outside_pdl_bbox
SNCF:ST:87354589,Saint-Sébastien Pas Enchantés,47.206939,-1.510828,1,0,within_pdl_bbox
SNCF:ST:87354597,Saint-Sébastien Frêne Rond,47.190545,-1.496027,1,0,within_pdl_bbox
SNCF:ST:87361980,Rosiers-d'Égletons,45.376415,2.008138,1,0,outside_pdl_bbox
SNCF:ST:87365155,Annonay Boutique SNCF,45.246462,4.675774,1,0,outside_pdl_bbox
SNCF:ST:87381509,Mantes-la-Jolie,48.989839,1.70337,1,0,outside_pdl_bbox
SNCF:ST:87381574,Issou - Porcheville,48.979309,1.78532,1,0,outside_pdl_bbox
SNCF:ST:87381624,Bréval,48.94336,1.54191,1,0,outside_pdl_bbox
SNCF:ST:87384008,Paris Saint-Lazare,48.876242,2.325331,1,0,outside_pdl_bbox
SNCF:ST:87386540,Munster Badischhof,48.038937,7.151845,1,0,outside_pdl_bbox
SNCF:ST:87387001,Évreux Normandie,49.018747,1.149629,1,0,outside_pdl_bbox
SNCF:ST:87387092,Bueil,48.925365,1.443436,1,0,outside_pdl_bbox
SNCF:ST:87387142,La Bonneville-sur-Iton,48.988464,1.035073,1,0,outside_pdl_bbox
SNCF:ST:87387159,Conches,48.96236,0.93789,1,0,outside_pdl_bbox
SNCF:ST:87387175,Romilly-la-Puthenaye,49.003921,0.854862,1,0,outside_pdl_bbox
SNCF:ST:87387183,Beaumont-le-Roger,49.074199,0.772699,1,0,outside_pdl_bbox
SNCF:ST:87389924,Saint-Hilaire-De-Riez,46.71676,-1.948609,1,0,within_pdl_bbox
SNCF:ST:87391003,Paris Montparnasse Hall 1 - 2,48.841172,2.320514,1,0,outside_pdl_bbox
